EventCategoryId,Code,IsCritical,Description,Id,PriorityLevelId,SuppressionDurationSec
2,Property_Damage-Wall_Pillar_Floor,False,"Property Damage - Wall, Pillar, Floor - ทรัพย์สินเสียหาย - ผนัง พื้น เสา",125,3,
2,Property_Damage-Window_and_Glass_Façade,False,Property Damage - Window and Glass Façade - ความเสียหายต่อทรัพย์สิน - หน้าต่าง และกระจกอาคาร,126,3,
2,Booster_Pump_Alarm,False,Booster Pump Alarm,127,3,
2,Drainage_Sewage_Pump_Common_Alarm,False,Drainage Sewage Pump Common Alarm,128,3,
2,Drainage_Sewage_Pump_Critical_Alarm,False,Drainage Sewage Pump Critical Alarm,129,2,
2,Rubbish_Bin_Full,False,Rubbish Bin Full - ถังขยะเต็ม,130,3,
2,Sensor_Faulty,False,Sensor Faulty - เซ็นเซอร์ผิดปกติ,131,3,
2,Smoke_Detector_Trouble_Status,False,Smoke Detector Trouble Status - สถานะความผิดปกติของเครื่องตรวจจับควัน,132,3,
2,Smoke_Detector_Maintenance_Alert,False,Smoke Detector Maintenance Alert - แจ้งเตือนการบำรุงรักษาเครื่องตรวจจับควัน,133,3,
2,Sump_Pump_Failure,False,Sump Pump Failure - ปั๊มสูบน้ำเสีย,134,2,
2,Toilet_Amenities_Top-up_Soap_and_Toilet_Paper,False,Toilet Amenities Top-up (Soap and Toilet Paper) - เติมของใช้ในห้องน้ำ (สบู่/กระดาษชำระ),135,4,
2,Toilet_Cleaning_and_Inspection,False,Toilet Cleaning and Inspection - การทำความสะอาดห้องน้ำและการตรวจเช็ค,136,3,
2,Toilet_Equipment_Faulty,False,Toilet Equipment Faulty - อุปกรณ์ห้องน้ำชำรุด,137,3,
2,Toilet_Water_Overflow,False,Toilet Water Overflow - น้ำล้นในห้องน้ำ,138,3,
2,Tripped_Breaker_Alarm,False,Tripped Breaker Alarm - สัญญาณเตือนเบรกเกอร์ทริป,139,3,
2,UPS_Malfunction,False,UPS Malfunction - ยูพีเอสทำงานผิดปกติ,140,3,
2,Variable_Speed_Drive_VSD_Failure,False,Variable Speed Drive VSD Failure - ระบบ VSD ขัดข้อง,141,3,
2,Waste_Compactor_Malfunction,False,Waste Compactor Malfunction - เครื่องบีบอัดขยะทำงานผิดปกติ,142,3,
2,Waste_Water_Treatment_Critical_Alarms,False,Waste Water Treatment Critical Alarms - สัญญาณเตือนสถานการณ์วิกฤตการบำบัดน้ำเสีย,143,2,
2,Waste_Water_Treatment_Common_Alarms,False,Waste Water Treatment Common Alarms - สัญญาณเตือนการบำบัดน้ำเสีย,144,3,
